Título,Calificación,Géneros,Espectadores
Sword Snow Stride (2021),8.7,"Wuxia, Drama, Fantasy, Melodrama","12,401"
Dr. Romantic Season 2 (2020),8.7,"Romance, Drama, Medical, Melodrama","59,775"
Under the Skin (2022),8.7,"Thriller, Mystery","13,689"
Youth of May (2021),8.7,"Romance, Youth, Drama, Melodrama","61,273"
Begins Youth (2024),8.7,"Life, Youth, Drama, Fantasy","11,852"
Blossoms in Adversity (2024),8.7,"Historical, Business, Romance","14,310"
The Legend of Shen Li (2024),8.7,"Romance, Wuxia, Drama, Fantasy","17,185"
Beyond Evil (2021),8.7,"Thriller, Mystery, Psychological, Drama","60,321"
You Are My Glory (2021),8.7,"Comedy, Romance, Life, Drama","55,971"
Through the Darkness (2022),8.7,"Thriller, Mystery, Crime, Drama","22,968"
Story of Kunning Palace (2023),8.7,"Historical, Romance, Drama, Fantasy","23,240"
First Love: Hatsukoi (2022),8.7,"Romance, Drama, Melodrama","22,363"
SKZ Flix (2023),8.8,"Drama, Sci-Fi","2,040"
Dear My Friends (2016),8.7,"Life, Drama, Melodrama","14,407"
I Am Nobody (2023),8.7,"Comedy, Wuxia, Drama, Fantasy","12,386"
Racket Boys (2021),8.7,"Comedy, Life, Drama, Sports","32,127"
The Devil Judge (2021),8.7,"Mystery, Law, Crime, Drama","63,400"
Partners for Justice Season 2 (2019),8.7,"Mystery, Law, Drama, Medical","12,253"
Arthdal Chronicles Part 3: The Prelude to All Legends (2019),8.7,"Historical, Romance, Fantasy, Political","25,137"
Moon Lovers: Scarlet Heart Ryeo (2016),8.7,"Historical, Romance, Fantasy, Melodrama","151,800"
Life on Mars (2018),8.7,"Action, Mystery, Psychological, Comedy","31,329"
Hometown Cha-Cha-Cha (2021),8.7,"Comedy, Romance, Life, Drama","125,437"
Love and Redemption (2020),8.7,"Romance, Wuxia, Drama, Fantasy","29,511"
A Journey to Love (2023),8.7,"Romance, Wuxia, Drama, Political","16,156"
"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land (2019)",8.7,"Historical, Romance, Fantasy, Political","27,995"
Six Flying Dragons (2015),8.7,"Action, Historical, Drama, Political","25,380"
Thai Cave Rescue (2022),8.7,Drama,"2,448"
Sweet Home (2020),8.7,"Action, Horror, Drama, Sci-Fi","113,898"
Mystery to Iunakare (2022),8.7,"Mystery, Psychological, Life, Drama","7,427"
The Guest (2018),8.7,"Thriller, Mystery, Horror, Supernatural","39,100"
Nirvana in Fire Season 2: The Wind Blows in Chang Lin (2017),8.7,"Military, Wuxia, Drama, Political","8,190"
To the Wonder (2024),8.7,"Romance, Life, Family","3,081"
Strong Woman Do Bong Soon (2017),8.7,"Action, Comedy, Romance, Supernatural","231,775"
While You Were Sleeping (2017),8.7,"Mystery, Romance, Drama, Supernatural","171,279"
D.P. Season 2 (2023),8.7,"Action, Military, Drama","27,389"
The Penthouse: War in Life (2020),8.7,"Thriller, Mystery, Drama","63,513"
The Penthouse Season 2: War in Life (2021),8.7,"Thriller, Mystery, Drama","41,588"
